Identity;RemoteHostName;BatchName;FinalSyncTimestamp;LargeItemsEncountered;TotalMailboxItemCount;TotalMailboxSize;TotalPrimaryItemCount;TotalPrimarySize;TotalArchiveItemCount;TotalArchiveSize;ItemsTransferred;BytesTransferred;ArchiveItemsTransferred;ArchiveBytesTransferred;ShardItemsTransferred;ShardBytesTransferred;SyncedItemCount;OverallDuration;TotalFailedDuration;TotalInProgressDuration;TotalQueuedDuration;TotalSuspendedDuration;TotalTransientFailureDuration;TotalStalledDueToContentIndexingDuration;TotalStalledDueToMailboxLockedDuration;TotalStalledDueToMdbReplicationDuration;TotalStalledDueToReadCpu;TotalStalledDueToReadThrottle;TotalStalledDueToReadUnknown;TotalStalledDueToWriteCpu;TotalStalledDueToWriteThrottle;TotalStalledDueToWriteUnknown
User-2288;ews-apac.psdaych.re;EXOMigration_APAC_W43_D4_20241025093414;11/10/2021 19:02;0;1776;806,04;1773;806,03;3;0,01;2001;837,85;7;0,08;191;5,34;0;930;0;345;0;525,8;0;0;0;0;0;0;0;0;0;0
User-2289;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:14;0;106769;15639,62;106764;15639,58;5;0,04;113659;17565,03;7;0,12;5382;875,22;0;384,8;0;226,4;2;197,8;0;0;0;0;0;0;0;0;2;0
User-2290;owa.psdaych.re;EXOMigration_EMEA_W45_SRM1_20241104075222;11/09/2021 19:48;0;149308;18250,09;149303;18250,06;5;0,03;154641;20066,17;8;0,1;2819;184,84;0;308,8;0;69,6;0;237,2;0;0;0;0;0;0;0;0;1;0
User-2291;owa.psdaych.re;EXOMigration_EMEA_W45_D4_1_20241105102710;11/15/2021 12:43:41 AM;0;36963;4665,98;36958;4665,68;5;0,3;38570;4885,66;10;0,41;617;7,05;0;546,2;0;168,2;0;389,8;0;0;0;0;0;0;0;0;0;0
User-2292;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:13;0;21348;2261,42;21345;2261,41;3;0,01;22618;2512,2;8;0,1;1229;46,4;0;384,4;0;105,8;0;263,4;0;0;0;0;0;0;0;0;1;0
User-2293;ews-apac.psdaych.re;EXOMigration_APAC_W43_D2_20241025072842;11/09/2021 01:45;0;196;22,34;193;22,33;3;0,01;363;24,98;9;0,09;146;1,46;0;849,8;0;337,8;0;493,8;0;0;0;0;0;0;0;0;0;0
User-2294;ews-apac.psdaych.re;EXOMigration_APAC_W43_D4_20241025093414;11/10/2021 19:04;0;3355;1620,79;3353;1620,78;2;0,01;3906;1695,92;7;0,09;353;12,99;0;963;0;380,2;1;462;0;0;0;0;0;0;0;0;0;0
User-2295;ews-apac.psdaych.re;EXOMigration_APAC_W42_SR_MTB_20241019123515;10/21/2021 8:17:58 PM;0;876;119,32;873;119,31;3;0,01;1475;207,59;5;0,06;585;78,72;0;156;0;886;0;87,4;0;0;0;0;0;0;0;0;0;0
User-2296;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:45;0;1506;117,36;1502;117,34;4;0,02;1735;142,49;9;0,1;208;11,04;0;312,6;0;96;0;270,4;0;0;0;0;0;0;0;0;0;0
User-2297;owa.psdaych.re;EXOMigration_EMEA_W44_D4_2_20241101010956;11/08/2021 02:17;0;79;10,7;77;10,69;2;0,01;89;11,19;5;0,05;0;0;0;464;0;115,6;1;359,2;0;0;0;0;0;0;0;0;0;0
User-2298;owa.psdaych.re;EXOMigration_EMEA_W44_D4_2_20241101010956;11/08/2021 02:16;0;234;29,69;232;29,68;2;0,01;269;31,34;3;0,04;29;0,46;0;389,2;0;239;0;207,6;0;0;0;0;0;0;0;0;0;0
User-2299;owa.psdaych.re;EXOMigration_EMEA_W45_D1_1_20241105073010;11/11/2021 19:36;0;8002;1980,07;7999;1980,06;3;0,01;15595;2943,39;6;0,07;7397;799,12;0;311,4;0;171,8;0;198;0;0;0;0;0;0;0;0;0;0
User-2300;owa.psdaych.re;EXOMigration_EMEA_W44_D3_1_20241029093546;11/07/2021 23:45;0;103839;11660,74;103836;11660,72;3;0,02;180766;21155,47;6;0,09;75375;8593,02;0;1034,6;0;784,4;0;262;0;0;0;0;0;0;0;0;0;0
User-2301;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:04;0;1639;143,26;1635;143,25;4;0,01;2007;167,44;7;0,07;305;9,58;0;395,2;0;157,6;0;218,4;0;0;0;0;0;0;0;0;12;0
User-2302;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:02;0;279;63,51;277;63,5;2;0,01;1568;121,2;4;0,04;1189;33,9;0;392,2;0;173,8;0;236,6;0;0;0;0;0;0;0;0;0;0
User-2303;owa.psdaych.re;EXOMigration_EMEA_W44_D1_1_20241102070406;11/07/2021 22:03;0;137199;24330,62;28200;4445,05;108999;19885,57;145057;25568,76;107098;20224,53;1085;29,08;0;346,2;0;81,8;1;200,8;0;0;0;0;0;0;0;2;12;0
User-2304;owa.psdaych.re;EXOMigration_EMEA_W44_D3_1_20241029093546;11/07/2021 23:46;0;50229;10013,85;50225;10013,83;4;0,01;58733;11629,46;7;0,08;7870;1190,93;0;511,8;0;217,6;0;286,8;0;0;0;0;0;0;0;0;3;0
User-2305;owa.psdaych.re;EXOMigration_EMEA_W45_D2_3_20241105094734;11/12/2021 01:07;0;356;36,42;353;36,41;3;0,01;669;57,34;7;0,08;300;18,17;0;334;0;116,2;0;254,6;0;0;0;0;0;0;0;0;0;0
User-2306;owa.psdaych.re;EXOMigration_EMEA_W45_D2_2_20241105085348;11/12/2021 02:47;0;3948;452,32;3945;452,3;3;0,02;4450;507,25;8;0,11;458;23,35;0;325,2;0;223;0;362,4;0;0;0;0;0;0;0;0;0;0
User-2307;ews-apac.psdaych.re;EXOMigration_APAC_W43_D3_20241025075825;11/11/2021 17:42;0;112;7,92;109;7,9;3;0,01;291;10,43;12;0,11;153;1,57;0;987,4;0;357,4;0;633;0;0;0;0;0;0;0;0;0;0
User-2308;ews-apac.psdaych.re;EXOMigration_APAC_W43_D4_20241025093414;11/10/2021 19:03;0;15182;4088,49;15177;4088,47;5;0,02;15973;4315,47;12;0,13;444;11,57;0;965;0;415,4;0;442,4;5;0;0;0;0;0;0;0;1;0
User-2309;ews-apac.psdaych.re;EXOMigration_APAC_W43_D4_20241025093414;11/10/2021 19:12;0;47267;11763,9;47263;11763,88;4;0,01;64465;23462,62;9;0,09;16968;11212,13;0;962,4;0;357,6;0;360,2;9;0;5;0;0;0;0;5;78;0
